,0,1,2,3
0,24.09300513699714,33.210328402888585,-100.0,22.784214160745556
1,23.648884857211385,32.51470930527958,-100.0,36.90036900369003
2,23.977563676203594,33.1556552677507,-100.0,36.900368864544795
3,29.889278303037898,33.210329844228944,-100.0,36.90036900369003
4,19.25298582867503,24.86951599523709,19.65644988111354,26.656072726246187
5,28.296277950305246,25.54758198086222,24.64023417833787,36.9003690030108
6,21.95031995636257,21.98863358487796,21.64911715239083,21.859690797343085
7,23.943085628131907,25.74929909155712,24.538570155291655,35.54032848518999
8,16.771579901928583,33.19649399597708,21.263924201266722,-100.0
9,21.75525531294629,32.32099084482286,23.762863221138172,-100.0
10,22.426112193259108,33.21033210282698,20.279027633665443,-100.0
11,29.6056080365288,33.21033210332103,19.823470455282724,-100.0
12,17.958564398438767,18.732314076685178,24.10786522300053,28.505519364648674
13,23.256052744856202,22.054255656654874,33.210323875158444,23.279948587496026
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,22.02205119190023,19.007477054161285,22.744700990089445,29.28116816389703
17,19.642266433838728,23.561016981227926,21.379868559123143,17.780394379235354
18,21.886886269349183,26.90036550107819,20.744770274088037,21.963066368497028
19,21.464201738479332,26.849842768557068,22.008272377138205,29.889298892988926
20,23.111308383164978,21.92870792887415,29.28350339900028,33.21033210330021
21,29.889298885685985,24.367097124701065,23.44464466964009,25.674659458015597
22,29.162698910631665,21.05561981819305,21.830530373243302,33.21033210332103
23,29.707881231241732,29.88908765322996,29.88929854363772,33.21033210332103
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,22.071898250134986,21.62783639403362,23.838439670370725,29.889297339285495
29,0.0,0.0,0.0,0.0
30,22.178850927263856,21.714180529100076,26.852049286856932,23.885714704826544
31,26.900359870759313,26.900368995069147,24.209999854342996,29.889298892988926
32,21.92323267817922,-100.0,29.467752638145225,-100.0
33,21.983958622685282,-100.0,29.889298892860996,-100.0
34,20.02753348781009,-100.0,29.01993114685579,-100.0
35,22.883230506390028,-100.0,29.889298892952752,-100.0
