,0,1,2,3
0,33.21033210532235,26.900369003997564,-100.0,36.90036900369006
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,24.23107002823324,29.889298892996944,24.18692050680825,27.900368996784465
8,26.776462200337924,33.21033210332106,26.780340986465053,-100.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,29.311413773440087,26.723220096303063,33.210332833322404,21.452537174306595
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,26.900368376563897,29.889298892988954,26.900368932686177,29.889268158255227
20,29.889298896919996,29.88930823597579,29.889298893257475,33.21033210332106
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,26.900369003815058,26.900369004332255,26.900369279954468,29.889298892988954
35,24.480012047234002,-100.0,29.88929889300556,-100.0
