,0
0,15.998054326057144
1,16.28393026600629
2,17.378871509886768
3,17.25856033045327
4,17.25856033045327
5,17.53229564142339
6,17.105136198916647
7,16.984825019483154
8,17.258560330453275
9,17.258560330453275
10,17.105136198916647
11,17.258560330453275
12,17.53229564142339
13,17.652606820856885
14,17.204857407312794
15,15.570894883550404
16,17.25856033045327
17,18.079766263363627
18,17.806030952393506
19,18.079766263363627
20,17.53229564142339
21,17.806030952393506
22,17.806030952393506
23,16.27178963702726
24,18.079766263363627
25,17.806030952393506
26,18.079766263363627
27,18.079766263363627
28,17.806030952393506
29,17.806030952393506
30,18.079766263363627
31,18.079766263363627
32,18.079766263363627
33,18.079766263363627
34,18.079766263363627
35,18.079766263363627
36,18.079766263363627
37,18.079766263363627
38,18.079766263363627
39,17.65260682085688
40,18.079766263363627
41,18.079766263363627
42,18.079766263363627
43,18.079766263363627
44,18.079766263363627
45,18.079766263363627
46,18.079766263363627
47,18.079766263363627
48,18.079766263363627
49,18.079766263363627
