,0,1,2,3
0,19.12997964256717,28.868389771955634,-100.0,16.144382734168076
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,26.825234562191714,21.19941582108914,29.306017750317203,29.284588117806283
8,16.207618303845432,28.46873904239174,18.004208342618604,-100.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,23.65912470607266,19.967729830479886,13.950894528433798,26.37752588974878
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,19.63556369418317,21.55150137443015,18.339807080458403,21.335586892543695
20,22.339738713910897,23.759236543141345,20.25600612508234,23.322588403722072
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,20.76916704438665,19.152277096021763,19.120394471365916,21.41196576406383
35,19.79297932840689,-100.0,21.404497298868197,12.588448068285658
