,0,1
0,2.0015836167569527,-9.823988270496017
1,3.8696669726029542,-9.99998876281866
2,5.692835368980749,-9.845067823442985
3,12.888945383832723,12.408341294352073
4,1.4428807376381168,10.748360926195346
5,1.7841409802549797,-7.666113790366191
6,3.829812818985856,-9.998384866207568
7,0.3553581152906635,3.60111374979828
8,1.015553452668655,4.128711912700174
9,0.257190439539448,4.9750499607519885
10,0.0,0.0
11,0.0,0.0
12,0.023096997847330054,0.7534919105437018
13,3.593190225062117,2.5862701646723716
14,0.9476563919075165,2.9669478861735215
15,1.8946973122754582,0.5718252256175657
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,-8.979165190550324,-9.847640265465404
21,0.23908411373250438,-8.570352921045151
22,-7.1875150894136315,14.20844975122671
23,-8.530693681639558,7.986670700419099
