,0
0,15.17684839314679
1,17.806030952393506
2,17.25856033045327
3,14.749688950640053
4,16.83140088794653
5,16.83140088794653
6,16.984825019483154
7,16.55766557697641
8,16.55766557697641
9,15.977082002933045
10,16.404241445439787
11,16.83140088794653
12,16.28393026600629
13,16.711089708513036
14,16.1636190865728
15,17.22544737835014
16,17.53229564142339
17,15.998054326057144
18,17.806030952393506
19,17.652606820856885
20,17.806030952393506
21,18.079766263363627
22,17.25856033045327
23,17.652606820856885
24,17.806030952393506
25,18.079766263363627
26,18.079766263363627
27,17.806030952393506
28,17.806030952393506
29,18.079766263363627
30,17.652606820856885
31,17.652606820856885
32,18.079766263363627
33,18.079766263363627
34,18.079766263363627
35,18.079766263363627
36,17.652606820856885
37,18.079766263363627
38,18.079766263363627
39,18.079766263363627
40,17.806030952393506
41,18.079766263363627
42,18.079766263363627
43,18.079766263363627
44,18.079766263363627
45,18.079766263363627
46,18.079766263363627
47,18.079766263363627
48,18.079766263363627
49,18.079766263363627
